0,15
1,15
2,15
3,15
4,15
5,1
6,1
7,1
8,1
9,1
10,13
11,13
12,13
13,13
14,13
15,4
16,4
17,4
18,4
19,4
20,6
21,6
22,6
23,6
24,6
25,12
26,12
27,12
28,12
29,12
30,1
31,1
32,6
33,1
34,1
35,3
36,3
37,3
38,3
39,3
40,16
41,16
42,16
43,16
44,16
45,0
46,0
47,0
48,0
49,0
50,10
51,10
52,10
53,10
54,10
55,5
56,5
57,5
58,5
59,5
60,11
61,11
62,11
63,11
64,11
65,9
66,9
67,9
68,9
69,9
70,8
71,8
72,8
73,8
74,8
75,14
76,14
77,14
78,14
79,14
80,6
81,6
82,6
83,6
84,6
85,2
86,2
87,2
88,2
89,2
90,7
91,7
92,7
93,7
94,7
95,3
96,3
97,3
98,3
99,3
100,2
101,2
102,2
103,2
104,2
105,3
106,3
107,3
108,3
109,3
110,9
111,9
112,9
113,9
114,9
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
