0,8
1,3
2,5
3,8
4,1
5,1
6,11
7,2
8,9
9,8
10,10
11,9
12,0
13,4
14,8
15,3
16,7
17,0
18,3
19,3
20,6
21,8
22,4
23,6
24,4
25,6
26,4
27,1
28,7
29,3
30,5
31,6
32,6
33,7
34,0
35,1
36,9
37,5
38,4
39,4
40,0
41,4
42,2
43,0
44,9
45,6
46,11
47,1
48,10
49,3
50,1
51,6
52,5
53,2
54,7
55,5
56,1
57,6
58,8
59,6
60,2
61,7
62,7
63,10
64,2
65,0
66,4
67,3
68,5
69,5
70,8
71,0
72,5
73,11
74,2
75,2
76,4
77,10
78,2
79,7
80,10
81,4
82,2
83,8
84,9
85,8
86,4
87,0
88,1
89,3
90,2
91,4
92,0
93,11
94,9
95,10
96,7
97,0
98,9
99,6
100,5
101,1
102,3
103,11
104,6
105,1
106,1
107,9
108,8
109,1
110,1
111,1
112,6
113,7
114,2
